4,Skill,Input after,Description,,!!!   Read the info to understand special interactions & color codes.   !!!
shift+A,"Prime: Foxspirit: Tag
(RMB)",-,"Flow into ""RMB"" going right into the attack.",,Spirit Step vs Chain: Spirit Step
A/D+LMB,,-,"(Input: D+LMB) Flow into ""RMB"" after Attack 1 of ""D+LMB"" going right into the attack.
(Input: A+LMB) Flow into ""RMB"" after Attack 2 of ""A+LMB"" going right into the attack.",,"The skills ""Spirit Step"" and ""Chain: Spirit Step"" are similar but not quite the same.
- Spirit Step (iFrame into standing SA recovery)
- Chain: Spirit Step (SA into iFrame when disappeared into rolling SA recovery)

The ""Spirit Step"" version is better for protection, as it allows you to completely cancel the SA recovery animation, going into an other iFrame or Forward Guard. The ""Chain: Spirit Step"" version will always have a short rolling SA recovery animation, however it does have increased movement distance and very long lingering SA if not cancelled.

shift+W
Forward movement with this skill usually uses ""Chain: Spirit Step"" first, which you might not want to do. However all skills flow into ""shift+W"", using ""Spirit Step"" rather than ""Chain: Spirit Step"".
Tip: You can hold down LMB for forward ""Spirit Step"", as LMB is a skill. Just make sure to input ""W+LMB+shift"" or ""LMB+W+shift"" in that order.


Note:

For some cancels it will matter if you use ""Spirit Step"" or ""Chain: Spirit Step"", as well as the input direction that you use. The color of the skills in this info will be the same as in the table, make sure to also pay attention to the inputs for these skills!"
W/S+E,,-,"Flow into ""RMB"" after Attack 1 of ""W/S+E"", cancelling Attack 2 of ""W/S+E"", going right into the attack of ""RMB"".",,
-,"Prime: Bared Claws
(A/D+LMB)",ALL,"Flow into all skills after Attack 1 & 2, cancelling the recovery animation of ""A/D+LMB"". (Lingering Forward Guard)",,
shift+W/A/S/D,,-,"Flow into ""A/D+LMB"", cancelling the SA recovery animation of ""shift+W/A/S/D"".",,
-,,RMB,"(Input: D+LMB) Flow into ""RMB"" after Attack 1 of ""D+LMB"" going right into the attack.
(Input: A+LMB) Flow into ""RMB"" after Attack 2 of ""A+LMB"" going right into the attack.",,
-,,> LMB,"Flow into ""Flow: Nether River"" after Attack 1 & 2 of ""A/D+LMB"".",,
A/D+RMB,,-,"Cancels the attack part of ""A/D+RMB"".",,
E,,-,"Cancels the recovery animation of ""E"".",,
F,,-,"Cancels the recovery animation of ""F"".",,
-,,shift+LMB,"(Input: D+LMB) Flow into ""shift+LMB"" after Attack 1 of ""D+LMB"" going right into the attack.
(Input: A+LMB) Flow into ""shift+LMB"" after Attack 2 of ""A+LMB"" going right into the attack.",,
shift+F,,-,"Cancels ""shift+F"".",,
shift+RMB,,-,"Cancels ""shift+RMB"".",,
S+LMB,,-,"Cancels ""S+LMB"".",,
W+C,,-,"Cancels the recovery animation of ""W+C"".",,
shift+A/D,"Flow: Nether River
(> LMB)",-,"Flow into ""Flow: Nether River"".",,
shift+A/D,,-,"Flow into ""Flow: Nether River"".",,
A/D+LMB,,-,"Flow into ""Flow: Nether River"" after Attack 1 & 2 of ""A/D+LMB"".",,Prime: Foxspirit: Deceiver
