DPS Summary,Crit dmg:,279.50%,,,Sequence,Important Note,,,,Comparison tab:,2/4/26,,,,,,,,,,,,,,,,,,,,,
,Attack Speed:,37.00%,,Avoid Using,Unusable/Unfeasible,Impractical,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crit Rate:,63.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Stats/Buffs,Class Attack Speed Passive:,0%,,Attack Speed Before BSR:,,37%,,,,Stats tab:,Live,,,,,,,,,,,,,,,,,,,,,
Maegu Succession,Class Attack Speed Buff:,0%,,Attack Speed In BSR:,,62%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Combo,,Non BSR,,,,,,BSR,,,,,,PvP,,,,Non-Summon,,,,,,,Summon,,,,,
,,,,Total Damage,Frames,Seconds,DPS,Change,,BSR Total Damage,BSR Frames,BSR Seconds,BSR DPS,Change,,,,,,,,,,,,,,,,,,
,,Long Combo,,1416389.644,1000,16.667,84983.37863,37.13%,,1423973.375,837,13.950,102076.944,37.06%,,,,,,,,,,,,,,,,,,
,,Medium Combo,,761264.1753,493,8.217,92648.78401,40.05%,,763065.745,413,6.883,110857.009,39.96%,,,,,,,,,,,,,,,,,,
,,BSR Medium Combo,,791930.9153,545,9.083,87185.0549,37.91%,,793732.485,456,7.600,104438.485,37.83%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Input,Skill,,Total Damage,Frames,Seconds,DPS,Change,,BSR Total Damage,BSR Frames,BSR Seconds,BSR DPS,Change,,PvP Dmg%,DPS,Change,,Base Damage,Crit Rate,w/ addons/sov,w/ addons/sov/bsr,Crit Damage,BSR Crit Damage,,Summon Base Damage,Crit Rate,w/ addons/sov,w/ addons/sov/bsr,Summon Damage,BSR Summon Crit Damage
Prime,S+LMB,Spirited Away,,131292.33,79,1.317,99715.69367,40.00%,,131292.33,66,1.100,119356.6636,40.00%,,12.74%,"12,703.78",-0.02%,,46974,50.00%,100%,100%,131292.33,131292.33,,0,0.00%,63%,93%,0,0
Prime,W+RMB,Heavenward Dance,,111850.31,68,1.133,98691.45,40.00%,,111850.31,57,0.950,117737.1684,40.00%,,26.25%,"25,906.51",0.02%,,40018,100.00%,100%,100%,111850.31,111850.31,,0,0.00%,63%,93%,0,0
Prime,SHIFT+F,Spirit Swirl,,211570.32,129,2.150,98404.8,40.00%,,211570.32,109,1.817,116460.7266,40.00%,,20.18%,"19,858.09",0.01%,,75696,100.00%,100%,100%,211570.32,211570.32,,0,0.00%,63%,93%,0,0
Prime,S+LMB->Shift+LMB,Spirited Away -> Petal Play,,207679.68,129,2.150,96595.2,43.52%,,207679.68,108,1.800,115377.6,43.52%,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Prime,SHIFT+Q,Foxflare,,84302.79,55,0.917,91966.68,50.00%,,84302.79,46,0.767,109960.1609,50.00%,,23.57%,"21,676.55",-0.01%,,30162,100.00%,100%,100%,84302.79,84302.79,,0,0.00%,63%,93%,0,0
Prime,SHIFT+LMB,Petal Play (Cancelled),,76387.35,50,0.833,91664.82,50.00%,,76387.35,42,0.700,109124.7857,50.00%,,25.83%,"23,677.02",-0.01%,,27330,100.00%,100%,100%,76387.35,76387.35,,0,0.00%,63%,93%,0,0
Prime,SHIFT+C,Nukduri Dance,,77251.005,55,0.917,84273.82364,39.99%,,77251.005,46,0.767,100762.1804,39.99%,,29.22%,"24,624.81",-0.01%,,27639,50.00%,100%,100%,77251.005,77251.005,,0,0.00%,63%,93%,0,0
Prime,SHIFT+RMB,Bristling Sparks,,189900.685,140,2.333,81386.00786,40.00%,,189900.685,118,1.967,96559.67034,40.00%,,17.10%,"13,917.01",0.04%,,67943,100.00%,100%,100%,189900.685,189900.685,,0,0.00%,63%,93%,0,0
Prime,S+F,Lurking Claw,,54219.8372,40,0.667,81329.7558,40.01%,,56772.04,33,0.550,103221.8909,40.01%,,33.19%,"26,993.35",0.04%,,20312,30.00%,93%,100%,54219.8372,56772.04,,0,0.00%,63%,93%,0,0
Prime,RMB ,Foxspirit Tag (Cancelled),,38273.1403,30,0.500,76546.2806,10.00%,,40074.71,25,0.417,96179.304,10.00%,,35.46%,"27,143.31",0.02%,,14338,30.00%,93%,100%,38273.1403,40074.71,,0,0.00%,63%,93%,0,0
Prime,D+LMB->Shift+LMB,Bared Claws (1) -> Petal Play,,87891.57,71,1.183,74274.5662,48.61%,,87891.57,59,0.983,89381.25763,48.61%,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Prime,W/S+E->RMB,Flower Shroud (1) -> Tag (Cancelled),,68610.0703,57,0.950,72221.12663,21.52%,,70411.64,47,0.783,89887.2,21.20%,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Prime,S+E,Flower Shroud (1) Back,,30336.93,27,0.450,67415.4,40.02%,,30336.93,22,0.367,82737.08182,40.02%,,14.59%,"9,835.91",-0.11%,,10854,100.00%,100%,100%,30336.93,30336.93,,0,0.00%,63%,93%,0,0
Prime,W+E,Flower Shroud (1) Forward,,30336.93,27,0.450,67415.4,40.02%,,30336.93,22,0.367,82737.08182,40.02%,,14.59%,"9,835.91",-0.11%,,10854,100.00%,100%,100%,30336.93,30336.93,,0,0.00%,63%,93%,0,0
Prime,S+E,Flower Shroud Back,,70774.99,65,1.083,65330.76,40.01%,,70774.99,54,0.900,78638.87778,40.01%,,14.59%,"9,531.76",-0.11%,,25322,100.00%,100%,100%,70774.99,70774.99,,0,0.00%,63%,93%,0,0
Prime,W+E,Flower Shroud Forward,,70774.99,65,1.083,65330.76,40.01%,,70774.99,54,0.900,78638.87778,40.01%,,14.59%,"9,531.76",-0.11%,,25322,100.00%,100%,100%,70774.99,70774.99,,0,0.00%,63%,93%,0,0
Prime,W+RMB,BSR: Heavenward Dance,,141203.4,139,2.317,60951.10791,,,141203.4,139,2.317,60951.10791,,,33.08%,"20,162.63",0.00%,,50520,100.00%,100%,100%,141203.4,141203.4,,0,0.00%,63%,93%,0,0
Prime,D+LMB->RMB,Bared Claws (1) -> Tag (Cancelled),,49777.3603,51,0.850,58561.60035,15.74%,,51578.93,42,0.700,73684.18571,15.53%,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Preawk,HOLD E,"Flow: Hanpuri (Soulflame, Ghost Bomb)",,22169.94,23,0.383,57834.62609,,,22169.94,19,0.317,70010.33684,,,70.27%,"40,640.39",0.00%,,7932,50.00%,100%,100%,22169.94,22169.94,,0,0.00%,63%,93%,0,0
Prime,A+LMB->RMB,Bared Claws -> Tag (Cancelled),,72785.8003,76,1.267,57462.47392,22.44%,,74587.37,63,1.050,71035.59048,22.11%,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Prime,SHIFT+LMB,Petal Play,,76387.35,80,1.333,57290.5125,50.00%,,76387.35,67,1.117,68406.58209,50.00%,,25.83%,"14,798.14",-0.01%,,27330,100.00%,100%,100%,76387.35,76387.35,,0,0.00%,63%,93%,0,0
Preawk,F,"Soulsnare (Bared Claws, Hanpuri)",,20250.4425,23,0.383,52827.2413,,,23557.6582,19,0.317,74392.60484,,,54.06%,"28,558.41",-28.57%,,3298,30.00%,93%,100%,8803.5163,9217.91,,5372,0.00%,63%,93%,11446.9262,14339.7482
Prime,RMB,Foxspirit Tag,,38273.1403,45,0.750,51030.85373,10.00%,,40074.71,38,0.633,63275.85789,10.00%,,35.46%,"18,095.54",0.02%,,14338,30.00%,93%,100%,38273.1403,40074.71,,0,0.00%,63%,93%,0,0
Prime,E,"Foxflare Fling (3 hit, cancelled fast)",,36894,46,0.767,48122.6087,,,36894,38,0.633,58253.68421,,,100.00%,"48,122.61",0.00%,,13200,100.00%,100%,100%,36894,36894,,0,0.00%,63%,93%,0,0
Preawk,E->E,Soulflame -> Hanpuri,,42413.3033,55,0.917,46269.05815,,,44727.7763,46,0.767,58340.57778,,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Prime,A/D+LMB,Bared Claws,,34512.66,46,0.767,45016.51304,40.00%,,34512.66,38,0.633,54493.67368,40.00%,,55.30%,"24,894.13",0.01%,,12348,50.00%,100%,100%,34512.66,34512.66,,0,0.00%,63%,93%,0,0
Preawk,F->F,Soulsnare -> Hanpuri,,42420.3825,57,0.950,44653.03421,,,45727.5982,47,0.783,58375.65728,,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Preawk,SHIFT+X,Heavenly Return (fast),,30666.74,42,0.700,43809.62857,,,30666.74,35,0.583,52571.55429,,,49.73%,"21,786.53",0.00%,,10972,50.00%,100%,100%,30666.74,30666.74,,0,0.00%,63%,93%,0,0
Mixed,F -> D+LMB,Soulsnare -> Bared Claws (1),,31754.6625,44,0.733,43301.8125,11.55%,,35061.8782,36,0.600,58436.46367,10.34%,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Prime,W+Q,Soul Tear,,39593.97,56,0.933,42422.11071,40.01%,,39593.97,47,0.783,50545.49362,40.01%,,35.99%,"15,267.72",0.00%,,14166,50.00%,100%,100%,39593.97,39593.97,,0,0.00%,63%,93%,0,0
Preawk,E,"Foxflare Fling (3 hit, cancelled)",,36894,54,0.900,40993.33333,,,36894,45,0.750,49192,,,100.00%,"40,993.33",0.00%,,13200,100.00%,100%,100%,36894,36894,,0,0.00%,63%,93%,0,0
Preawk,LMB,Spirit Sparks (2+3),,56425.46,86,1.433,39366.6,,,56425.46,72,1.200,47021.21667,,,32.43%,"12,766.59",0.00%,,20188,50.00%,100%,100%,56425.46,56425.46,,0,0.00%,63%,93%,0,0
Preawk,SHIFT+X,Spirit Parade (fast),,25473.63,39,0.650,39190.2,,,25473.63,32,0.533,47763.05625,,,47.57%,"18,642.78",0.00%,,9114,50.00%,100%,100%,25473.63,25473.63,,0,0.00%,63%,93%,0,0
Preawk,HOLD E,Flow: Hanpuri (Soulsnare),,22169.94,34,0.567,39123.42353,,,22169.94,28,0.467,47507.01429,,,70.27%,"27,492.03",0.00%,,7932,50.00%,100%,100%,22169.94,22169.94,,0,0.00%,63%,93%,0,0
Preawk,E,Soulflame,,20243.3633,32,0.533,37956.30619,,,22557.8363,27,0.450,50128.52511,,,70.27%,"26,671.90",0.00%,,3966,50.00%,100%,100%,11084.97,11084.97,,4298,0.00%,63%,93%,9158.3933,11472.8663
Preawk,Shift+Z->LMB,Constricting Charm -> Spirit Sparks,,111978.88,186,3.100,36122.21935,,,111978.88,156,2.600,43068.8,,,,0.00,,,,,63%,93%,0,0,,,,63%,93%,0,0
Preawk,SHIFT+X,Spirit Parade,,25473.63,43,0.717,35544.6,,,25473.63,36,0.600,42456.05,,,47.57%,"16,908.57",0.00%,,9114,50.00%,100%,100%,25473.63,25473.63,,0,0.00%,63%,93%,0,0
Preawk,SHIFT+X,Heavenly Return,,30666.74,52,0.867,35384.7,,,30666.74,43,0.717,42790.8,,,49.73%,"17,596.81",0.00%,,10972,50.00%,100%,100%,30666.74,30666.74,,0,0.00%,63%,93%,0,0
Prime,A/D+RMB,Ghost Bomb,,35182.0662,60,1.000,35182.0662,10.67%,,38074.8882,50,0.833,45689.86584,9.78%,,61.78%,"21,735.48",-11.55%,,8492,40.00%,100%,100%,23735.14,23735.14,,5372,0.00%,63%,93%,11446.9262,14339.7482
